ml_algo,bias,Monte_carlo_SE_bias,prct_bias,Monte_carlo_SE_prct_bias,abs_bias,Monte_carlo_abs_bias_SE,MSE,Monte_carlo_SE_MSE,empirical_SE,Monte_carlo_SE_empirical,time,nancount,n_conf,n_observations,iterations_monte_carlo,B_T,gamma,lam,linear,outcome_nuisance,propensity_nuisance,x_omit,Scenario,cov,Correlation,RMSE,DGP
Linear Regression,0.0218221710359877,0.0026884791917268,2.182217103598777,0.2688479191726864,0.0512208618740694,0.0017101387627904,0.0040829394105337,0.0002502940296586,0.0601162222879495,0.0019029457657402,0.0109237051010131,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X16,W,0.0044303558650795,0.0027659226702017,0.06389788267645259,Linear
DML,-1.8560865978218937,0.0195729320705527,-185.60865978218936,1.9572932070552755,1.8560865978218937,0.0195729320705527,3.636224193863452,0.0764733741741238,0.4376640662874168,0.0138540139426768,2.048436760902405,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X16,W,0.0044303558650795,0.0027659226702017,1.9068886160086675,Linear
T-learner,0.598407478285558,0.002711749854211,59.8407478285558,0.2711749854211064,0.598407478285558,0.002711749854211,0.3617609501167156,0.0032459713806479,0.0606365701199108,0.0019194170885522,0.4449952030181884,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X16,W,0.0044303558650795,0.0027659226702017,0.6014656682776796,Linear
X-learner,0.1659559587863942,0.0029457804386162,16.595595878639422,0.2945780438616266,0.1660515234834641,0.002934968285431,0.031871513830586,0.0010032044118579,0.0658696530753512,0.0020850674350448,1.6142496395111083,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,ElasticNet,X16,W,0.0044303558650795,0.0027659226702017,0.17852594721940562,Linear
XBCF,0.2784407760591607,0.0029398473180431,27.844077605916077,0.2939847318043193,0.2784407760591607,0.0029398473180431,0.0818419741968772,0.0016436213048964,0.0657369844661501,0.0020808678836007,1.619192123413086,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X16,W,0.0044303558650795,0.0027659226702017,0.28608036317943464,Linear
Linear Regression,0.3500718881923764,0.0026587420600589,35.00718881923765,0.2658742060058937,0.3500718881923764,0.0026587420600589,0.1260777126641966,0.0018792535876763,0.0594512798092961,0.0018818973793637,0.0116589736938476,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1 X16,S W,0.0608272213769523,0.0368602319195257,0.3550742354271802,Linear
DML,-1.1626242125543211,0.0200043984529549,-116.26242125543212,2.000439845295491,1.1657963042894564,0.0196309558465642,1.551382862392381,0.0495171474554612,0.4473119478979883,0.0141594122987355,1.6551160764694215,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1 X16,S W,0.0608272213769523,0.0368602319195257,1.245545206884271,Linear
T-learner,0.7446148994336808,0.002729903870891,74.46148994336808,0.2729903870891079,0.7446148994336808,0.002729903870891,0.5581700836556394,0.0040595106702474,0.0610425062735226,0.0019322667729681,0.3422145795822143,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1 X16,S W,0.0608272213769523,0.0368602319195257,0.7471078126051416,Linear
X-learner,0.4372540457345285,0.0030011133043725,43.725404573452856,0.3001113304372528,0.4372540457345285,0.0030011133043725,0.1956854343629881,0.0026113743827821,0.0671069335675598,0.0021242328646755,1.0670708084106446,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,ElasticNet,X1 X16,S W,0.0608272213769523,0.0368602319195257,0.4423634640914506,Linear
XBCF,0.5546991639044295,0.0028865263288064,55.46991639044296,0.288652632880645,0.5546991639044295,0.0028865263288064,0.3118488475254735,0.0032191371405319,0.0645446909005413,0.0020431264902488,1.454477505683899,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1 X16,S W,0.0608272213769523,0.0368602319195257,0.5584342821903697,Linear
